system:index,landsat_image_count,mean_LST_C,mean_NDVI,month,region,year,.geo
0_0_0,5,19.291874098619058,0.2600739724457065,1.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,5,18.20310139058221,0.5265735396409131,1.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,10,24.17275691699239,0.2593076309146269,2.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,10,22.289032223821742,0.5741548464587474,2.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,10,31.192791373562233,0.2902496668489779,3.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,10,28.305437615783784,0.5477223572989585,3.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,10,44.91723769949833,0.2701139169199096,4.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,10,45.37977171543485,0.2880495395450191,4.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,8,47.904789732724545,0.2627862445948235,5.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,8,48.07900832287264,0.27006971441043354,5.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,10,40.5560323520223,0.29663905073352187,6.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,10,39.30585231711385,0.36770280870779715,6.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,10,46.1788793898406,0.3240323856324373,7.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,10,43.240889254504175,0.4520525445339892,7.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,7,39.3490417667756,0.4639158370692503,8.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,7,33.914413159313135,0.6327376345085552,8.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,10,39.033134014296444,0.3767079278687451,9.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,10,36.64417699231583,0.5657936302520906,9.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,10,34.41011403595703,0.2717682893832279,10.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,10,34.51068159437668,0.38115276466361325,10.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,5,21.850277859140398,0.25492719943267556,11.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,5,23.13734732585572,0.3370876599188935,11.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,10,22.1246883748221,0.2358908767236184,12.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,10,22.534770872310784,0.40404011579758214,12.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,9,18.09630991146403,0.25385594538350986,1.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,9,17.37738387492021,0.5364219986067004,1.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0,10,27.757990707251494,0.22731667134731282,2.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1,10,25.947881932538486,0.5336706298886503,2.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,8,31.51130891712672,0.20457052492619382,3.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,8,29.812403717066196,0.41221867104452814,3.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_0,10,39.396570683629626,0.2365128476014437,4.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_1,10,38.607706551205986,0.2967043057496863,4.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_0,8,44.66260761668185,0.23657416419334806,5.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_1,8,44.241783762466156,0.24120598308542737,5.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_0,9,41.70158889385718,0.3077936552555486,6.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_1,9,41.016098793434644,0.3703785645901766,6.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_0,7,43.67824082991477,0.29061801858965447,7.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_1,7,42.239490685312674,0.38945450068795523,7.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_0,10,39.55741065394539,0.3936671589379277,8.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_1,10,36.64914726570836,0.5601068748693087,8.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_0,6,34.858507288157526,0.46715315041229677,9.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_1,6,32.67998429078167,0.6403111147376084,9.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_0,9,34.01643146192532,0.3626061942227552,10.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_1,9,32.87156195257814,0.4934480793978774,10.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_0,14,25.344028729384046,0.2630338043104421,11.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_1,14,26.034018221884875,0.36908792018095493,11.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_0,19,19.638468635061447,0.2852531989693902,12.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_1,19,19.902082674573684,0.46514466824065753,12.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,14,19.466815762763016,0.3093720612422781,1.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_1,14,18.58651983774764,0.5774910781330576,1.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_0,15,24.35952306336075,0.26982045446849867,2.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1,15,22.11691965642525,0.561950792387994,2.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_0,17,35.24893358521856,0.2857899675789764,3.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1,17,32.225597052384835,0.5330131459494539,3.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3_0,20,45.48556120165905,0.24800407766694751,4.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3_1,20,45.981350356951225,0.28882886373031963,4.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4_0,20,42.0038353012667,0.24574365751523744,5.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4_1,20,42.73585339836045,0.2786252820310383,5.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5_0,12,44.20492024282006,0.26874144957663526,6.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5_1,12,43.86246845262872,0.3527057893732742,6.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6_0,13,36.39355142343803,0.4137781617596939,7.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6_1,13,34.580407940522285,0.545588535234001,7.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7_0,16,43.66594185055455,0.4146493980789923,8.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7_1,16,39.14808020424167,0.6258779284090596,8.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8_0,20,41.68918581558061,0.3771870513133061,9.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8_1,20,39.27879544083737,0.5685773101361716,9.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9_0,20,33.51709964446857,0.3519759563731012,10.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9_1,20,32.62896561016264,0.479625435095573,10.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_10_0,20,26.60106823950603,0.2826442534457661,11.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_10_1,20,27.788037315406513,0.3778848273592079,11.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_11_0,18,21.672567175724172,0.25881275237641854,12.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_11_1,18,21.52394805383471,0.453426901164118,12.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_0,15,18.213402695067362,0.22923940011608532,1.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_1,15,17.437156679109826,0.514137812797155,1.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_0,20,26.3135371384864,0.26442100719185035,2.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_1,20,24.237451967303542,0.5707662657691044,2.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2_0,20,34.70087349861577,0.27158105861500176,3.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2_1,20,32.098607471626046,0.5127138895285265,3.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3_0,16,41.93707119621449,0.2789145617701825,4.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3_1,16,41.63116111886183,0.33523905201809545,4.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_4_0,16,40.854695186466806,0.2771983557119043,5.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_4_1,16,40.83468509412502,0.3126726760492271,5.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_5_0,19,43.882188230114956,0.3008963369903757,6.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_5_1,19,44.02981043029813,0.37327292157972775,6.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_6_0,16,41.120514688306045,0.40862340428664895,7.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_6_1,16,37.69988507633748,0.5782611724775427,7.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_7_0,19,40.03830588992853,0.3783595814041658,8.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_7_1,19,36.73584171690641,0.574214024747499,8.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_0,20,37.63100448257489,0.3942480439051516,9.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_1,20,35.60644750005424,0.5702116284739245,9.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_0,18,35.46681072765687,0.32969361443653444,10.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_1,18,35.34394284360436,0.4319501574632533,10.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_10_0,17,27.81973009064768,0.2942955142337379,11.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_10_1,17,28.353780350495764,0.37003924304164587,11.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_11_0,20,22.162664502189866,0.2710925875309482,12.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_11_1,20,22.53416844230908,0.43282716409041294,12.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,17,18.40059736336839,0.22957847745996546,1.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_1,17,18.218327516790662,0.5259160615971131,1.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_0,15,25.801323114154933,0.2509060665898362,2.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_1,15,24.32859782328014,0.5479810501377065,2.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_0,18,30.859147294966355,0.2610531144571447,3.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_1,18,28.215155011688267,0.5212469072250976,3.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_0,17,41.64765219994717,0.25801761790333716,4.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_1,17,41.2784471337534,0.295186953512685,4.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_0,20,46.86869106808083,0.23876119174514343,5.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_1,20,48.13724665957996,0.2620872043234781,5.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_0,17,45.88980651288215,0.2272670403834849,6.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_1,17,46.28646576333334,0.2824912452057785,6.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_0,16,42.54896960600162,0.4044827671667671,7.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_1,16,39.774795401030524,0.56676171360583,7.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_0,15,36.479086391763495,0.41258556160652277,8.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_1,15,34.912509927064995,0.6257789021890328,8.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_0,11,34.968160984073506,0.4187889735272054,9.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_1,11,32.88794099371438,0.6260753961665346,9.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_0,20,37.30877151766082,0.33980093519984367,10.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_1,20,36.005181506775074,0.468735864475158,10.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10_0,20,30.899859711886275,0.2675621157294363,11.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10_1,20,31.03065530487804,0.355005701505136,11.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11_0,17,20.729674988366153,0.2659899944797004,12.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11_1,17,21.06822955047428,0.4231429597832845,12.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
