system:index,mean_LST_Day_C,mean_LST_Night_C,modis_image_count,month,region,year,.geo
0_0_0,19.626820623568044,9.842688941688985,8,1.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,18.954045079365127,7.924584482758646,8,1.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,26.1035970338721,14.150439348910323,8,2.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,24.568094920634948,13.223125714285745,8,2.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,31.270941157347146,17.355039443967307,8,3.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,29.30953904761909,15.257907975460155,8,3.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,38.618101430429164,23.18501606798792,8,4.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,38.61312666666671,20.003339188134294,8,4.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,43.506863892501066,26.094569123314113,6,5.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,44.04095111111113,22.661369426751637,6,5.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,38.0271600408694,27.45078171190292,8,6.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,37.68624222222223,26.022218880534716,8,6.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,35.928593612607536,25.549979052197834,8,7.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,34.41753028571431,24.609679492849803,8,7.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,33.70095288080243,25.610053624320525,8,8.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,31.967812436289535,24.019175718849887,8,8.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,36.32481051458296,26.18543031403626,8,9.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,35.31916666666668,24.26565788690479,8,9.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,33.14385403120941,19.45521079582522,8,10.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,33.03934666666671,15.714004866726588,8,10.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,26.891603381014342,14.736130009107512,6,11.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,27.244133333333355,13.2391585858586,6,11.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,22.09670739674283,10.688873495259427,8,12.0,Urban,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,22.104748888888917,8.634355386416894,8,12.0,Reference_1km,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,20.076245231902927,10.613510849288206,8,1.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,19.216570666666694,10.204938504701275,8,1.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0,28.5104508019072,15.019170812603688,8,2.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1,27.01949619047622,11.930576190476224,8,2.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,34.725198309492825,19.883709264896257,8,3.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,33.48763333333336,16.986505291005326,8,3.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_0,39.729568703944544,23.47364171743546,6,4.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_1,40.12277333333336,20.762475609756123,6,4.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_0,38.002808842652804,24.79362073623774,8,5.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_1,37.812300000000036,21.905307991513464,8,5.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_0,36.41508475757015,26.05064482200646,8,6.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_1,36.113640317460344,24.429601232101266,8,6.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_0,37.712401387082764,26.82255979329151,8,7.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_1,37.05792355555558,25.831862449799225,8,7.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_0,32.55496810948047,24.488025428571408,8,8.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_1,31.38110622222224,22.83874085884357,8,8.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_0,33.03175057279084,24.933066912681586,8,9.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_1,31.3317481904762,23.808016131815062,8,9.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_0,32.0665778066753,21.52557905082845,6,10.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_1,31.09672000000002,18.51660353535356,6,10.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_0,26.726810638429647,15.84311813186815,8,11.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_1,26.624227619047666,13.506151805688749,8,11.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_0,21.108740092265787,10.927951397900227,8,12.0,Urban,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_1,20.6879504761905,9.283332132853168,8,12.0,Reference_1km,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,19.619788500835988,9.664013211283184,8,1.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_1,18.819962666666694,8.088395343580501,8,1.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_0,25.403120162239176,13.881438562011255,8,2.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1,23.72695174603177,12.542109414758297,8,2.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_0,36.32733745123539,22.274063295238147,8,3.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1,34.64537333333335,18.111711174242455,8,3.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3_0,40.26431729518856,26.087046421084157,5,4.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3_1,40.43109866666667,23.654256410256423,5,4.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4_0,37.489357932379704,25.438237673151438,8,5.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4_1,37.60127333333336,22.958594581280835,8,5.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5_0,39.02453859372101,27.355545422714606,8,6.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5_1,38.785239047619086,25.991811818703408,8,6.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6_0,35.762983486693315,27.13160030429578,8,7.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6_1,34.29830141708163,25.920520624303254,8,7.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7_0,35.57896126695154,26.13190054581717,8,8.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7_1,34.41302552380954,24.370058201058246,8,8.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8_0,33.69496865130968,25.410891941391995,8,9.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8_1,32.58597796825403,24.286724829932005,8,9.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9_0,31.47995448634591,20.652729067930476,6,10.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9_1,30.938240000000025,18.109733009708762,6,10.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_10_0,27.757473992197646,17.042817734569162,8,11.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_10_1,27.836486666666683,15.199457944689932,8,11.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_11_0,21.964142563007016,11.416539279671293,8,12.0,Urban,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_11_1,21.577198412698444,8.728165822357338,8,12.0,Reference_1km,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_0,20.247125580531343,9.323452415235396,8,1.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_1,19.451677460317494,6.766405376910946,8,1.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_0,27.701486160133754,16.501802756690434,8,2.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_1,26.233641904761946,15.411926870748333,8,2.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2_0,32.81066970091029,19.375537033483667,8,3.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2_1,31.27466000000001,17.16981067217888,8,3.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3_0,37.964677069787676,22.571362204724444,6,4.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3_1,37.45980444444446,19.238736318407966,6,4.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_4_0,38.0673081924577,23.782298951048972,8,5.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_4_1,37.68143333333336,20.769680810938272,8,5.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_5_0,37.630578580717085,25.84546833511865,8,6.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_5_1,37.13431853968259,23.962684233449508,8,6.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_6_0,36.32304031209366,25.986876452189495,8,7.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_6_1,34.04372880061118,25.141276527331218,8,7.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_7_0,33.05933146015237,25.09206695814501,8,8.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_7_1,31.858070603174642,23.480679012345707,8,8.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_0,35.29985485169369,25.669340671523617,8,9.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_1,34.02013600000004,24.289316793893143,8,9.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_0,32.69726484612048,21.6170058139535,6,10.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_1,32.27600000000003,18.10303620474411,6,10.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_10_0,27.117243885070366,17.0763758802544,8,11.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_10_1,26.81676666666669,15.073821524320222,8,11.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_11_0,22.46622081862654,12.368622706422041,8,12.0,Urban,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_11_1,22.13264304761909,8.66419746031749,8,12.0,Reference_1km,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,19.4039600794686,8.904283855376931,8,1.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_1,19.17013968253971,7.004356299468049,8,1.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_0,24.81415233141373,12.747244508873695,8,2.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_1,23.614667619047665,10.127104063246954,8,2.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_0,32.60289661898569,19.618257063892607,8,3.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_1,31.326560000000022,16.777762406015064,8,3.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_0,38.490313719115775,23.707085714285736,8,4.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_1,38.691466666666706,19.876214181286574,8,4.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_0,41.24248807975731,29.149203638497717,6,5.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_1,41.83574222222227,27.41801010101012,6,5.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_0,41.67893244163728,28.38145190639831,8,6.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_1,42.09385523809527,26.50120930811353,8,6.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_0,35.660318771331085,26.731544469639736,8,7.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_1,34.89943158529236,26.026072334368553,8,7.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_0,32.052938170774,25.837842268214757,8,8.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_1,30.537691546281437,24.94186513859279,8,8.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_0,32.75268364914232,25.01418326521123,8,9.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_1,31.395833206349227,23.270755411255436,8,9.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_0,32.592919375812706,22.95171011525631,8,10.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_1,32.005260000000014,18.9949398688047,8,10.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10_0,26.935493714781106,17.40518334568818,6,11.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10_1,26.711174222222244,15.43837785388132,6,11.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11_0,21.058975091336976,11.753289888566446,8,12.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11_1,20.663301269841316,10.029806468605173,8,12.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
